,date,BJP,Congress,AIADMK,trinamool congress,BJD,isPartial,shiv sena,Telugu desam,TRS,communist
0,2019-02-08,13,8,0,0,0,False,42,0,0,21
1,2019-02-09,19,17,0,0,0,False,0,0,23,0
2,2019-02-10,16,13,0,0,0,False,0,0,0,0
3,2019-02-11,18,18,0,0,0,False,32,0,0,0
4,2019-02-12,28,14,4,0,0,False,0,0,0,0
5,2019-02-13,25,21,4,0,0,False,41,0,0,0
6,2019-02-14,27,12,4,0,0,False,100,0,19,0
7,2019-02-15,15,7,3,0,0,False,18,0,0,18
8,2019-02-16,19,14,3,0,0,False,19,0,0,0
9,2019-02-17,7,13,0,0,0,False,0,0,0,0
10,2019-02-18,20,9,11,0,0,False,30,0,0,0
11,2019-02-19,33,17,6,0,0,False,22,0,0,22
12,2019-02-20,21,15,0,0,4,False,21,0,0,0
13,2019-02-21,24,11,4,0,0,False,20,0,0,0
14,2019-02-22,16,19,4,0,4,False,0,0,21,0
15,2019-02-23,24,22,6,4,0,False,22,0,22,0
16,2019-02-24,12,10,0,0,0,False,0,0,0,0
17,2019-02-25,14,14,0,0,0,False,0,0,22,0
18,2019-02-26,11,7,0,0,3,False,0,0,14,0
19,2019-02-27,8,14,5,0,0,False,14,0,0,0
20,2019-02-28,10,20,0,0,0,False,0,0,0,0
21,2019-03-01,7,8,3,0,0,False,0,0,18,0
22,2019-03-02,14,18,4,0,4,False,0,0,0,0
23,2019-03-03,11,13,4,0,0,False,0,0,0,0
24,2019-03-04,20,22,0,0,4,False,22,0,0,0
25,2019-03-05,24,20,8,0,0,False,0,0,0,0
26,2019-03-06,32,12,4,0,0,False,0,0,0,0
27,2019-03-07,41,17,4,0,0,False,0,0,0,0
28,2019-03-08,28,19,0,0,4,False,0,0,0,0
29,2019-03-09,28,19,5,0,0,False,26,0,25,0
30,2019-03-10,30,17,4,0,0,False,0,0,0,0
31,2019-03-11,13,27,0,0,4,False,23,0,0,0
32,2019-03-12,30,17,0,0,0,False,0,0,0,0
33,2019-03-13,38,20,4,0,0,False,0,0,0,0
34,2019-03-14,49,32,0,4,0,False,0,0,0,23
35,2019-03-15,45,27,4,0,0,False,22,0,23,0
36,2019-03-16,95,25,9,0,5,False,26,0,0,0
37,2019-03-17,57,36,5,0,0,False,0,0,0,0
38,2019-03-18,50,52,4,0,4,False,0,0,0,0
39,2019-03-19,51,36,4,0,4,False,0,0,48,0
40,2019-03-20,54,16,5,0,5,False,0,26,0,0
41,2019-03-21,100,30,0,0,5,False,0,0,27,0
42,2019-03-22,80,29,4,0,0,False,24,0,0,0
43,2019-03-23,69,46,9,0,0,False,48,0,0,0
44,2019-03-24,45,51,4,0,0,False,0,0,23,0
45,2019-03-25,55,43,0,0,8,False,0,23,0,0
46,2019-03-26,52,46,4,0,9,False,0,0,0,24
47,2019-03-27,26,28,0,0,4,False,0,0,24,24
48,2019-03-28,54,28,4,0,4,False,0,0,23,0
49,2019-03-29,47,26,9,0,4,False,0,0,46,0
50,2019-03-30,40,20,0,0,9,False,25,0,50,0
51,2019-03-31,33,26,0,0,0,False,0,0,0,0
52,2019-04-01,46,21,0,0,4,False,45,0,0,0
53,2019-04-02,41,58,0,0,4,False,0,24,0,0
54,2019-04-03,35,44,4,0,0,False,0,0,24,24
55,2019-04-04,38,31,4,0,4,False,0,0,0,0
56,2019-04-05,46,21,0,0,4,False,0,0,0,23
57,2019-04-06,41,26,0,0,0,False,24,0,0,0
58,2019-04-07,35,21,0,0,0,False,25,0,25,25
59,2019-04-08,52,26,0,0,0,False,0,24,0,0
60,2019-04-09,56,36,0,0,4,False,25,25,0,0
61,2019-04-10,32,30,0,0,4,False,0,0,0,0
62,2019-04-11,32,38,0,0,4,False,0,0,22,0
63,2019-04-12,48,13,0,0,0,False,0,0,0,0
64,2019-04-13,42,16,0,0,0,False,0,0,0,0
65,2019-04-14,43,19,0,0,5,False,0,0,0,0
66,2019-04-15,27,25,0,0,0,False,0,0,0,0
67,2019-04-16,36,17,4,0,4,False,0,0,23,0
68,2019-04-17,46,25,0,0,0,False,35,0,0,0
69,2019-04-18,40,19,4,0,4,False,0,0,0,0
70,2019-04-19,37,23,9,0,0,False,76,0,0,0
71,2019-04-20,28,32,0,0,0,False,25,0,0,0
72,2019-04-21,34,25,5,0,0,False,0,0,0,24
73,2019-04-22,38,36,0,0,0,False,0,0,0,0
74,2019-04-23,44,19,4,0,0,False,0,0,0,0
75,2019-04-24,49,24,0,0,4,False,24,0,0,0
76,2019-04-25,31,20,0,0,0,False,0,0,0,25
77,2019-04-26,26,18,0,0,0,False,24,0,24,0
78,2019-04-27,39,28,0,4,0,False,0,0,0,0
79,2019-04-28,26,21,0,0,5,False,25,0,0,0
80,2019-04-29,44,20,0,0,0,False,22,22,0,0
81,2019-04-30,27,12,0,0,0,False,0,0,23,0
82,2019-05-01,20,13,0,0,0,False,24,0,0,0
83,2019-05-02,25,16,0,0,0,False,0,0,22,0
84,2019-05-03,30,10,0,0,0,False,21,0,22,0
85,2019-05-04,38,18,0,0,0,False,0,0,0,0
86,2019-05-05,14,14,9,0,0,False,0,0,0,0
